given_name,surname,street_number,address,suburb,postcode,state,date_of_birth,soc_sec_id
Daniel,Jones,032,Courts Fry Route,Pattersonburgh,02111,Mississippi,1965-05-18,779-97-3606
Erica,Hawkins,5330,Lights Michael Meadow,Port Derek,68881,Wisconsin,1979-03-07,125-72-4319
Rick,Payne,93204,Extensions Leonard Run,Port Joshuaview,60709,New Mexico,1977-11-13,101-74-9501
Frank,Owen,4995,Corner David Club,East Amychester,64558,Maine,1923-03-09,046-96-0190
John,Bell,272,Skyway Pacheco Ports,Taylormouth,54217,Oregon,1915-08-28,347-17-3314
Emily,Burton,80568,Burg Lindsay Drives,West Markport,46012,Alabama,1955-09-30,313-83-6838
Justin,Zimmerman,566,Oval Erin Spur,Vegaburgh,39083,Kentucky,1915-03-16,351-88-6040
Mark,Martinez,388,Cape Perry Club,New Cindyton,93936,North Carolina,2015-03-18,224-87-2603
Kaitlin,Freeman,90223,Pass Andrews Shores,Lake Emily,21735,Montana,1918-03-26,511-95-0932
Brian,Brennan,293,Way Turner Passage,Carloston,67598,Oregon,2002-02-05,895-57-3682
Loretta,Morales,70362,Street Angela Ridge,Jamesfurt,87982,Kentucky,1930-03-15,138-34-9201
Felicia,Schmidt,601,Rapids Tracy Ridges,New William,40448,North Dakota,1911-10-03,645-95-7111
Michael,Fisher,40160,Streets West Villages,Port Davidmouth,78519,Connecticut,1949-01-25,336-97-1256
Eric,Massey,3514,Valley Johnson Groves,South Philip,75101,North Carolina,1926-10-12,132-66-3114
Kirk,Crawford,12156,Pass Marilyn Hollow,Ashleyfurt,40426,Maryland,1962-08-06,477-28-2164
John,Johnson,687,Plaza Joseph Camp,Owenston,00765,Nevada,1922-12-04,428-01-5479
Jonathan,Moore,9565,Shoals Paul Square,West Tara,14699,South Dakota,1930-10-01,735-98-1699
Donald,Martin,23670,Neck Miller Rue,Kimberlyport,22601,Louisiana,1970-03-19,427-74-5864
Eric,Spence,00206,Grove Karen Wells,Michaelbury,47681,Ohio,1945-11-24,665-93-1364
